id;numero_mtn;montant;devise;date_transaction;precision
1;Champagne-Ardenne;7182;EURO;2022-09-09T19:41:52;Caumartin COM
2;empowering Shilling Buckinghamshire;15757;DOLLAR;2022-09-09T14:33:54;Kids
3;implement Honduras;99633;YEN;2022-09-09T19:43:31;Fresh mission-critical
4;Executif b;59276;NAIRA;2022-09-09T13:12:05;Executif Ball solutions
5;withdrawal incentivize high-level;2755;YEN;2022-09-09T06:04:00;grey end-to-end optimize
6;Madagascar;18132;NAIRA;2022-09-09T04:35:03;programming Oman Ergonomic
7;port enable;81669;FCFA;2022-09-09T21:27:19;optical olive overriding
8;monitor;41793;LEONE;2022-09-09T03:44:26;compressing Corse
9;connect Pizza multi-byte;43357;LEONE;2022-09-09T11:55:03;SSL Tools parsing
10;Architecte holistic magenta;26362;FCFA;2022-09-09T16:00:33;SMTP Developpeur Producteur
